step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
1365000,233,-16.5111,-1.9437,5835.2,0.200000
1370000,234,-15.5372,-1.9437,5849.9,0.200000
1375000,234,-17.6265,-1.9437,5864.4,0.200000
1380000,234,-16.0393,-1.9437,5879.0,0.200000
1385000,234,-16.4673,-1.9437,5908.5,0.200000
1390000,234,-18.3528,-1.9437,5923.6,0.200000
1395000,234,-15.8332,-1.9437,5939.4,0.200000
1400000,234,-16.4694,-1.9437,5965.8,0.200000
1405000,233,-15.0466,-1.9437,6025.5,0.200000
1410000,232,-14.3615,-1.9437,6056.9,0.200000
1415000,232,-15.0018,-1.9437,6082.2,0.200000
1420000,232,-14.7958,-1.9437,6106.9,0.200000
1425000,231,-16.9936,-1.9437,6157.9,0.200000
1430000,231,-17.2066,-1.9437,6189.0,0.200000
1435000,230,-18.3000,-1.9437,6220.2,0.200000
1440000,230,-17.1699,-1.9437,6252.2,0.200000
1445000,229,-18.3284,-1.9437,6307.5,0.200000
1450000,228,-17.8245,-1.9437,6334.0,0.200000
1455000,228,-16.0949,-1.9437,6362.8,0.200000
1460000,228,-17.4770,-1.9437,6389.0,0.200000
1465000,227,-15.0669,-1.9437,6436.9,0.200000
1470000,227,-15.6780,-1.9437,6462.7,0.200000
1475000,227,-17.3393,-1.9437,6490.5,0.200000
1480000,227,-19.2789,-1.9437,6515.8,0.200000
1485000,226,-20.8621,-1.9437,6567.6,0.200000
1490000,225,-20.6992,-1.9437,6593.5,0.200000
1495000,225,-20.9299,-1.9437,6621.5,0.200000
1500000,225,-20.6936,-1.9437,6652.1,0.200000
1505000,224,-20.3087,-1.9437,6705.9,0.200000
1510000,224,-19.8424,-1.9437,6735.1,0.200000
1515000,224,-19.2497,-1.9437,6763.2,0.200000
1520000,223,-19.3845,-1.9437,6790.8,0.200000
1525000,222,-19.7426,-1.9437,6842.6,0.200000
1530000,222,-18.6223,-1.9437,6870.4,0.200000
1535000,222,-17.8630,-1.9437,6897.3,0.200000
1540000,222,-17.3433,-1.9437,6923.4,0.200000
1545000,221,-18.1279,-1.9437,6972.1,0.200000
1550000,221,-18.7388,-1.9437,6996.8,0.200000
1555000,221,-18.5737,-1.9437,7019.4,0.200000
1560000,221,-19.4283,-1.9437,7047.0,0.200000
1565000,220,-20.9232,-1.9437,7109.2,0.200000
1570000,219,-19.8038,-1.9437,7137.5,0.200000
1575000,219,-20.9212,-1.9437,7169.3,0.200000
1580000,219,-23.2081,-1.9437,7199.0,0.200000
1585000,218,-21.8457,-1.9437,7256.7,0.200000
1590000,218,-21.5502,-1.9437,7283.9,0.200000
1595000,218,-21.5968,-1.9437,7311.4,0.200000
1600000,218,-19.3001,-1.9437,7335.7,0.200000
1605000,217,-18.5885,-1.9437,7385.1,0.200000
1610000,217,-19.4490,-1.9437,7409.7,0.200000
1615000,217,-18.1890,-1.9437,7438.6,0.200000
1620000,217,-19.8710,-1.9437,7465.4,0.200000
1625000,216,-20.5922,-1.9437,7516.2,0.200000
1630000,216,-19.3172,-1.9437,7546.1,0.200000
1635000,215,-20.5656,-1.9437,7575.6,0.200000
1640000,215,-20.2158,-1.9437,7601.8,0.200000
1645000,214,-17.7673,-1.9437,7659.6,0.200000
1650000,214,-17.9561,-1.9437,7692.2,0.200000
1655000,214,-17.0754,-1.9437,7723.5,0.200000
1660000,214,-16.7511,-1.9437,7756.2,0.200000
1665000,212,-17.0074,-1.9437,7817.7,0.200000
1670000,212,-15.8682,-1.9437,7845.5,0.200000
1675000,212,-15.5754,-1.9437,7871.0,0.200000
1680000,212,-16.1168,-1.9437,7897.1,0.200000
1685000,212,-16.9930,-1.9437,7946.7,0.200000
1690000,211,-17.7186,-1.9437,7975.9,0.200000
1695000,211,-16.8522,-1.9437,8006.5,0.200000
1700000,211,-17.3469,-1.9437,8033.0,0.200000
1705000,210,-16.5970,-1.9437,8098.7,0.200000
1710000,210,-16.2361,-1.9437,8127.9,0.200000
1715000,210,-17.3386,-1.9437,8157.7,0.200000
1720000,210,-16.5340,-1.9437,8186.1,0.200000
1725000,209,-15.6217,-1.9437,8236.5,0.200000
1730000,209,-16.6162,-1.9437,8267.4,0.200000
1735000,209,-14.6461,-1.9437,8294.0,0.200000
1740000,209,-16.9971,-1.9437,8321.9,0.200000
1745000,208,-17.0225,-1.9437,8369.4,0.200000
1750000,208,-17.7204,-1.9437,8398.7,0.200000
1755000,208,-18.1969,-1.9437,8428.0,0.200000
1760000,208,-16.4975,-1.9437,8455.9,0.200000
1765000,207,-16.3124,-1.4347,8508.0,0.200000
1770000,207,-16.2083,-1.4347,8536.9,0.200000
1775000,207,-15.5422,-1.4347,8565.3,0.200000
1780000,207,-15.5559,-1.4347,8597.4,0.200000
1785000,206,-16.0513,-1.4347,8651.7,0.200000
1790000,206,-13.8460,-1.4347,8679.3,0.200000
1795000,206,-12.9186,-1.4347,8709.2,0.200000
1800000,206,-13.3907,-1.4347,8737.3,0.200000
1805000,205,-14.0122,-1.4347,8788.4,0.200000
1810000,205,-15.2195,-1.4347,8816.6,0.200000
1815000,205,-16.4092,-1.4347,8845.6,0.200000
1820000,205,-18.7279,-1.4347,8872.1,0.200000
1825000,204,-19.8703,-1.4347,8924.8,0.200000
1830000,204,-18.2937,-1.4347,8950.6,0.200000
1835000,204,-15.5534,-1.4347,8978.8,0.200000
1840000,204,-14.8032,-1.4347,9006.4,0.200000
1845000,203,-13.0071,-1.4347,9058.9,0.200000
1850000,203,-13.3417,-1.4347,9085.8,0.200000
1855000,203,-16.2463,-1.4347,9114.7,0.200000
1860000,203,-16.2192,-1.4347,9150.8,0.200000
1865000,202,-16.8529,-1.4347,9206.6,0.200000
1870000,202,-19.2278,-1.4347,9237.7,0.200000
1875000,202,-17.7411,-1.4347,9263.2,0.200000
1880000,202,-18.3428,-1.4347,9292.2,0.200000
1885000,201,-17.5036,-1.4347,9337.4,0.200000
1890000,201,-14.7101,-1.4347,9362.6,0.200000
1895000,201,-12.6205,-1.4347,9388.2,0.200000
1900000,201,-15.1762,-1.4347,9416.3,0.200000
1905000,201,-13.4175,-1.4347,9470.0,0.200000
1910000,201,-13.9673,-1.4347,9499.6,0.200000
1915000,201,-14.1391,-1.4347,9525.0,0.200000
1920000,201,-13.7306,-1.4347,9549.5,0.200000
1925000,200,-14.0129,-1.4347,9607.9,0.200000
1930000,200,-13.6332,-1.4347,9623.2,0.200000
1935000,200,-14.6087,-1.4347,9637.9,0.200000
1940000,200,-13.3544,-1.4347,9657.1,0.200000
1945000,200,-15.1788,-1.4347,9690.5,0.200000
1950000,200,-17.0314,-1.4347,9708.6,0.200000
1955000,201,-18.2593,-1.4347,9722.7,0.200000
1960000,201,-17.5121,-1.4347,9738.1,0.200000
1965000,201,-15.8241,-1.4347,9771.8,0.200000
1970000,201,-15.1409,-1.4347,9788.4,0.200000
1975000,201,-16.0350,-1.4347,9804.4,0.200000
1980000,201,-16.4742,-1.4347,9819.3,0.200000
1985000,201,-16.4305,-1.4347,9858.5,0.200000
1990000,201,-15.5111,-1.4347,9875.5,0.200000
1995000,201,-15.2840,-1.4347,9891.6,0.200000
2000000,201,-14.6458,-1.4347,9905.8,0.200000
